region,K,delta_K,r,delta_r,I0,delta_I0
Abruzzo,164470.38337622533,438613584.57218504,0.262309706582892,0.08598036974783556,0.12198840619892372,0.12198840619892372
Basilicata,63920.03797375759,1439092594.0464563,0.22758918134392706,0.10388519383595078,0.016907741838491336,0.016907741838491336
P.A. Bolzano,17.177809074965985,8.49993191866986,0.4061379279050845,0.1294863194331171,0.004100249356198144,0.004100249356198144
Calabria,248299.97184405953,1901039855.7801983,0.3099133689351496,0.05081651785456406,0.011143666653797221,0.011143666653797221
Campania,25.53144202481574,2.1411644738222404,0.4630301799088501,0.07110234755050962,0.011495607508106735,0.011495607508106735
Emilia Romagna,384.9697342599157,72.18467817093264,0.20420841316669666,0.018331399669839005,5.417028619998074,5.417028619998074
Friuli Venezia Giulia,38.12334118553886,15.403286078207778,0.34742631001680113,0.06730382804754569,0.022529643902274455,0.022529643902274455
Lazio,75.93388779873486,26.207567423568644,0.2420526250446838,0.03686280259217213,0.41999282369164187,0.41999282369164187
Liguria,104.26785571598175,7.924819053160671,0.3725400604965501,0.02952566203025765,0.11177647824686744,0.11177647824686744
Lombardia,1055.7197274065413,43.38411859612442,0.2272860097828469,0.010283982814652131,30.454394399182707,30.454394399182707
Marche,125.58835633473522,4.001740316584151,0.31360354840913274,0.014494480356368416,0.9361241142178148,0.9361241142178148
Molise,5.102398034260615,0.7769649560367001,0.31905347146969754,0.07567032714188021,0.03924010939743934,0.03924010939743934
Piemonte,272.35598263910083,18.70795092776078,0.32376950697061524,0.020310675805937473,0.6942580052633511,0.6942580052633511
Puglia,599999.9946779542,37989328426.1178,0.19834986647940095,0.11578652158078653,0.1380343102702055,0.1380343102702055
Sardegna,536922.948124086,1.0936883537939406e-12,0.884348586833907,0.20438993331149954,1.2182968509591108e-08,1.2182968509591108e-08
Sicilia,50.047637061568665,8.245704001300933,0.5202845084960427,0.04308111530761828,0.0006671268548703362,0.0006671268548703362
Toscana,154.52013270266823,15.377577897867905,0.4445818925138976,0.05740000900224112,0.04939015067815165,0.04939015067815165
P.A. Trento,27.13739614353027,3.004618091925005,0.5885050447224471,0.0808516210948536,0.00031822923347164274,0.00031822923347164274
Umbria,48.94950738240476,22.980086311472952,0.2983344783230822,0.04222321880939086,0.048406312191710606,0.048406312191710606
Valle d'Aosta,568520.380828468,3.338692990580987e-13,0.49911909912691804,0.06522400554578632,0.00011079877516620333,0.00011079877516620333
Veneto,431.18231529410997,80.00802354514902,0.19432711040353495,0.010282488804039668,3.988286196458759,3.988286196458759
Italia,3113.426089600867,146.48585559822814,0.22447148072984904,0.006737278140894658,41.48228253222016,41.48228253222016
